position,name,gender
163,Chloe,0
164,Isabel,0
165,Mona,0
166,Mina,1
167,Norma,0
168,Alia,0
169,Celina,0
170,Melissa,0
171,Pil,1
172,Yrsa,0
173,Cornelia,0
174,Evie,0
175,Irma,0
176,Nicoline,0
177,Ophelia,0
178,Palma,0
179,Anne,0
180,Elna,0
181,Gaia,0
182,Gro,0
183,Hollie,0
184,Inge,0
185,Thalia,1
186,Amaya,0
187,Barbara,0
188,Elia,22
189,Elisabeth,0
190,Emmy,0
191,Hedvig,0
192,Marley,80
193,Selina,0
194,Ayah,0
195,Nola,0
196,Celine,0
197,Elizabeth,0
198,Lisa,0
199,Liya,0
200,Ollie,93
201,Silja,0
202,Amanda,0
203,Amina,0
204,Helena,0
205,Isa,51
206,Liyana,0
207,Melanie,0
208,Philine,0
209,Aisha,0
210,Erika,0
211,Johanna,0
212,Le,6
213,Lulu,1
214,Nina,0
215,Rebecca,0
216,Svala,0
217,Ville,89
218,Elma,0
219,Liana,0
220,Margrethe,0
221,Zoey,1
222,Ela,0
223,Evig,4
224,Gudrun,0
225,Malak,1
226,Olga,0
227,Rayan,55
228,Aurora,0
229,Ayan,46
230,Cecilie,0
231,Fie,0
232,Gabriella,0
233,Ingvild,0
234,Isolde,0
235,Katrine,0
236,Mai,0
237,Medina,0
238,Milla,0
239,Ofelia,0
240,Philina,0
241,Robin,93
242,Sienna,0
243,Sol,6
244,Gerda,0
245,Nete,0
246,Althea,0
247,Fenja,0
248,Frigg,0
249,Linea,0
250,Lise,0
251,Lucy,1
252,Magda,0
253,Paula,0
254,Rigmor,0
255,Vanessa,0
256,Vita,0
257,Aliya,0
258,Amalie,0
259,Billie,7
260,Carmen,0
261,Claire,0
262,Ellis,11
263,Evelyn,0
264,Hana,1
265,Lena,0
266,Mio,87
267,Roberta,0
268,Salma,0
269,Vida,0
270,Alicia,0
271,Allie,0
272,Anastasia,0
273,Asiya,0
274,Chloé,0
275,Dicte,0
276,Ej,48
277,Franka,0
278,Ibi,0
279,Inger,0
280,Layan,0
281,Lilja,0
282,Mariam,0
283,Noor,32
284,Thora,0
285,Alexandra,0
286,Alvilda,0
287,Bodil,0
288,Else,0
289,Fatima,0
290,Fiona,0
291,Inaya,0
292,Kenza,0
293,Lua,0
294,Marlo,93
295,Savannah,0
296,Sigge,91
297,Sille,0
298,Siv,0
299,Svea,0
300,Trine,0
301,Aliyah,0
302,Amal,1
303,Arya,15
304,Bellis,0
305,Dagny,0
306,Diana,0
307,Eline,0
308,Erna,0
309,Ivy,0
310,Linnea,0
311,Madeleine,0
312,Mejse,0
313,Millie,0
314,Minna,0
315,Noella,0
316,Tove,0
317,Yasmin,0
318,Zahra,0
319,Abigail,0
320,Ariana,0
321,Aylin,1
322,Benedicte,0
323,Berta,0
324,Björk,3
325,Gertrud,0
326,Malika,0
327,Matilda,0
328,Nadia,0
329,Nethe,0
330,Nisa,0
331,Noora,2
332,Rio,67
333,Scarlett,0
334,Smilla,0
335,Trille,0
336,Una,0
337,Zainab,0
338,Alvira,0
339,Anaya,0
340,Anemone,0
341,Ayat,1
342,Camille,1
343,Cataleya,0
344,Elenora,0
345,Eleonora,0
346,Elif,1
347,Ezra,91
348,Harley,85
349,Helga,0
350,Idun,0
351,Ines,0
352,Juliane,0
353,Kaisa,0
354,Livia,0
355,Lola,0
356,Maddie,0
357,Magnolia,0
358,Majse,0
359,Mathilda,0
360,Morgan,90
361,Natalie,0
362,Paloma,0
363,Sigga,0
364,Sila,2
365,Simone,2
366,Thyra,0
367,Valentina,0
368,Vigdis,0
369,Vilda,0
370,Alfrida,0
371,Amy,0
372,Aria,33
373,Aurelia,0
374,Aviaja,0
375,Dua,0
376,Eliz,0
377,Ema,0
378,Felicia,0
379,Kamille,0
380,Kiara,0
381,Lyng,2
382,Maise,0
383,Meryem,0
384,Mika,59
385,Mimi,0
386,Neo,95
387,Nicole,0
388,Selena,0
389,Silvia,0
390,Tora,1
391,Ulla,0
392,Zoé,1
393,Amilia,0
394,Bea,0
395,Celeste,1
396,Cirkeline,0
397,Eileen,0
398,Elian,88
399,Eliana,0
400,Embla,0
401,Enya,0
402,Evy,0
403,Fria,0
404,Ina,0
405,Inga,0
406,Jana,0
407,Jessica,0
408,Lavin,1
409,Lydia,0
410,Maj,0
411,Maren,0
412,Maryam,0
413,Melisa,0
414,Miley,1
415,Nathalie,0
416,Noomi,0
417,Oline,0
418,Røskva,0
419,Safiya,0
420,Sam,92
421,Siggi,69
422,Vela,0
423,Aaliyah,0
424,Adelina,0
425,Adian,90
426,Agathe,0
427,Alessia,0
428,Ana,0
429,Anisa,0
430,Annabelle,0
431,Anni,0
432,Antonia,0
433,Asya,0
434,Athene,0
435,Azra,0
436,Beate,0
437,Benedikte,0
438,Bertha,0
439,Bianca,0
440,Bjørg,1
441,Catalina,0
442,Caya,0
443,Elvin,93
444,Freyja,1
445,Fryd,0
446,Gabriela,0
447,Helene,0
448,Jannah,0
449,Kira,0
450,Kirstine,0
451,Line,0
452,Lou,17
453,Lumi,7
454,Madina,0
455,Malin,1
456,Malina,0
457,Milana,0
458,Natalia,0
459,Neva,0
460,Nila,0
461,Rebekka,0
462,Rie,0
463,Veneda,0
464,Villa,0
465,Yusra,1
466,Zeynep,0
467,Amanah,0
468,Aminah,0
469,Annabell,0
470,Asiyah,0
471,Ayaan,70
472,Babette,0
473,Cassandra,0
474,Cecilia,0
475,Claudia,0
476,Dilara,0
477,Edda,0
478,Eli,54
479,Elsa,0
480,Emmie,0
481,Erica,0
482,Esila,0
483,Esma,0
484,Estelle,0
485,Frigga,0
486,Helle,0
487,Hilma,0
488,Imran,93
489,Isabell,0
490,Jennifer,0
491,Kajsa,0
492,Kathrine,0
493,Katla,0
494,Kayla,0
495,Kida,0
496,Kleo,3
497,Lilo,2
498,Linda,0
499,Luka,84
500,Marlie,0
501,Meliah,0
502,Mellie,0
503,Michelle,0
504,Mirha,0
505,Miriam,0
506,Noemi,0
507,Nolia,0
508,Ro,67
509,Robyn,6
510,Sine,0
511,Stefania,0
512,Sylvia,0
513,Tara,2
514,Teodora,0
515,Thit,0
516,Willa,0
517,Zaid,92
518,Zelda,0
519,Abbie,0
520,Alda,0
521,Aleyna,0
522,Almira,0
523,Alya,0
524,Amayah,0
525,Angelina,0
526,Anika,0
527,Arabella,0
528,Aviaya,0
529,Avin,2
530,Bobbie,35
531,Camilla,0
532,Charlotte,0
533,Christine,0
534,Coco,0
535,Daniella,0
536,Dea,0
537,Deniz,90
538,Dorthea,0
539,Elissa,0
540,Eliya,26
541,Eslem,0
542,Evelin,5
543,Evelina,0
544,Fauna,0
545,Hafsa,0
546,Halima,0
547,Hilda,0
548,Hilde,0
549,Inayah,0
550,Io,13
551,Isabelle,0
552,Jenny,0
553,Joanna,0
554,Karina,0
555,Kastanje,0
556,Katharina,0
557,Katinka,0
558,Kornelia,0
559,Lana,0
560,Leia,0
561,Lenora,0
562,Leona,0
563,Lidya,0
564,Lilou,0
565,Live,0
566,Liyanah,0
567,Lotte,0
568,Louise,0
569,Lova,0
570,Lyra,2
571,Malo,95
572,Megan,0
573,Melek,0
574,Monika,0
575,Nala,0
576,Nikola,62
577,Nilo,85
578,Nomi,0
579,Nour,18
580,Pi,1
581,Pusle,0
582,Rebeca,0
583,Sama,2
584,Samira,0
585,Selin,1
586,Sumaya,0
587,Syeda,0
588,Talia,0
589,Tina,0
590,Ursula,0
591,Valeria,0
592,Willow,10
593,Yara,1
594,Zoya,0
595,Abby,0
596,Abeeha,0
597,Adele,0
598,Adi,51
599,Alvilde,0
600,Amalia,0
